Temp,Hum,Output,Time_us
31.80,98.04,51.55288,7.88
31.33,55.00,34.20724,7.88
38.86,42.25,46.77158,7.88
36.47,65.98,53.40163,7.88
30.65,40.72,30.15345,7.88
37.45,97.60,85.71203,7.88
36.39,46.61,42.68515,7.88
29.15,47.20,29.65965,7.88
38.76,80.27,75.52551,7.88
30.51,52.21,32.35012,7.88
28.30,51.85,29.27073,7.88
38.83,58.22,56.86659,7.58
34.76,44.69,38.29305,7.58
34.47,85.22,57.03798,7.88
27.26,57.60,28.43585,10.79
27.31,78.52,30.24391,8.75
29.45,64.52,32.80486,7.88
34.98,88.03,62.08467,7.58
35.51,58.53,45.36150,7.88
38.30,70.21,63.64707,48.71
28.60,82.97,34.10429,7.88
26.88,55.56,27.64375,7.88
32.28,57.52,37.27679,7.88
28.42,76.12,32.24174,7.58
27.33,87.65,31.47389,7.58
37.94,68.91,60.59457,7.88
31.17,59.31,35.23568,7.88
28.51,73.61,31.99357,7.88
28.37,71.77,31.23804,7.88
32.38,92.58,51.95326,7.58
28.53,47.33,28.71059,7.88
28.51,72.97,31.86639,7.88
34.63,86.62,58.97602,129.79
28.80,88.46,35.75225,8.75
38.09,49.56,48.31123,7.88
29.88,67.69,34.63229,7.88
33.84,85.83,54.73949,7.88
32.02,62.08,38.15033,7.58
29.40,92.02,39.07936,7.58
28.17,51.57,28.98287,7.58
35.03,75.35,53.74553,7.88
28.38,68.70,30.65579,7.58
27.85,73.62,30.43238,7.88
35.47,85.04,62.45825,7.58
34.24,92.90,61.80463,7.58
30.48,85.98,41.00355,7.88
32.84,52.34,36.91046,7.88
37.30,45.23,44.27065,7.88
32.65,72.11,43.00776,7.58
30.92,98.70,47.86927,7.88
32.22,50.86,35.09239,7.58
29.71,41.39,29.32553,7.88
39.64,46.59,51.77811,7.58
37.29,63.08,54.67635,7.58
27.50,44.13,27.62916,7.88
39.22,68.03,66.43628,7.58
29.46,49.12,30.07675,7.88
36.36,83.74,66.06590,7.88
33.28,49.17,36.50450,7.58
37.45,48.07,45.61608,7.88
29.06,65.31,31.87578,7.58
31.78,64.58,38.39872,7.88
29.35,72.09,34.03074,7.58
27.25,54.86,27.84886,7.88
30.41,91.13,43.16759,7.88
35.03,41.37,37.73485,7.88
31.20,50.12,33.28273,7.88
29.88,91.03,40.89305,7.88
26.73,71.47,28.70823,7.88
30.39,76.16,37.73576,7.58
36.07,99.54,78.37907,7.58
30.00,69.18,35.26257,7.88
29.30,94.95,39.54696,7.88
30.54,86.75,41.61667,7.88
27.68,97.17,34.21503,7.58
33.48,93.01,57.59646,7.58
37.54,42.27,43.77135,7.88
33.35,44.36,35.38117,7.58
28.43,53.35,29.49853,7.88
35.00,74.46,53.09750,7.88
28.36,49.30,28.83136,7.58
30.60,48.91,32.02902,7.88
34.87,86.84,60.50906,7.58
33.53,64.45,42.49545,7.88
36.84,48.88,44.51260,7.88
39.00,41.56,46.84668,7.58
28.98,87.63,36.08857,7.88
30.00,42.02,29.64630,7.88
28.47,64.72,30.29424,7.58
38.68,43.79,46.90574,7.88
27.02,89.73,31.12263,7.58
35.89,87.34,66.67593,7.58
33.53,52.12,38.44139,7.88
34.42,95.87,65.20256,7.88
27.13,60.23,28.39720,7.88
39.81,74.75,76.06665,7.88
31.57,50.06,33.93795,7.58
29.13,51.57,29.97483,7.88
30.99,82.27,41.33314,7.88
39.49,66.36,66.24096,7.58
32.82,97.19,56.95646,7.88
34.83,56.07,42.83484,7.88
28.20,70.36,30.54543,7.88
33.88,65.95,43.82704,7.58
35.16,40.03,37.55746,7.58
32.69,56.97,38.06701,7.88
28.79,46.80,29.12802,7.88
32.06,53.52,35.45076,7.58
39.40,94.30,95.19188,7.88
31.10,63.10,36.30726,7.88
38.19,65.21,59.28312,7.58
39.31,69.02,67.82718,7.58
28.30,44.04,27.61944,7.58
33.06,53.54,37.82253,7.88
32.52,43.25,33.80161,12.25
36.61,86.67,70.09676,8.46
28.88,41.07,27.76851,7.88
28.33,43.19,27.57352,7.58
36.59,64.28,52.81802,47.54
32.94,81.37,48.91788,7.88
33.02,63.92,41.11618,7.88
30.06,53.91,31.79118,7.88
31.92,46.27,33.59433,7.88
35.43,97.28,72.20615,7.88
33.27,68.45,43.18618,7.58
34.25,99.21,66.83410,7.88
31.06,87.74,44.22482,7.88
27.16,92.41,31.87458,12.25
32.14,80.73,45.32574,7.88
33.60,56.61,40.10186,7.88
32.82,96.88,56.79127,7.88
30.40,98.28,45.44117,7.88
33.90,46.10,36.83206,7.58
34.58,99.56,69.09894,7.88
39.15,78.62,76.12959,7.88
38.47,55.76,53.87638,7.88
30.41,61.15,34.03872,7.88
28.32,94.44,35.51031,7.88
31.17,69.98,38.67978,7.58
36.00,51.04,43.36224,7.88
38.64,95.56,91.65868,7.88
27.36,90.31,32.04921,7.88
30.60,70.41,37.17789,7.88
36.63,92.34,74.93815,7.58
38.20,59.42,55.82430,7.58
38.09,65.52,59.10131,7.88
27.13,93.83,32.05235,7.88
37.59,79.81,68.85140,7.58
27.09,47.32,27.64344,7.88
34.16,55.55,41.08039,7.88
34.08,82.89,54.32613,7.88
38.45,41.59,45.60424,7.58
28.83,88.95,35.93068,7.58
29.43,81.16,36.05598,7.88
31.37,66.80,38.15364,7.88
32.04,40.48,32.31158,7.88
33.77,56.68,40.52681,7.58
33.79,58.43,41.14536,7.88
33.48,82.45,51.65105,7.88
32.99,94.16,55.74818,7.58
26.95,49.38,27.64729,7.58
38.41,89.93,83.87628,7.58
32.87,47.00,35.22929,7.88
37.21,48.04,45.05869,7.58
34.95,86.42,60.62469,7.88
39.27,73.65,71.91994,7.88
32.57,91.50,52.21988,7.88
36.07,42.90,40.64496,7.58
28.78,54.52,29.89350,7.58
31.57,62.80,37.32100,7.88
34.33,76.28,51.72421,7.88
31.73,58.39,36.25991,7.88
33.52,49.53,37.17852,7.58
28.83,79.14,33.98367,7.88
28.74,59.18,30.48049,7.88
27.54,82.22,31.00335,7.58
33.87,66.33,44.01957,7.88
37.43,94.43,82.32406,7.88
39.51,77.70,77.29440,7.58
32.74,80.89,47.86751,7.88
36.87,95.51,79.64877,7.58
32.47,81.94,47.25785,7.88
30.46,93.22,44.13568,7.88
39.52,52.51,55.25399,7.88
32.19,55.09,36.27072,7.58
31.23,80.05,41.26253,7.88
36.62,94.19,76.63086,7.88
30.29,90.54,42.39360,7.88
37.87,79.01,69.57344,7.88
35.24,89.19,64.48420,7.58
34.48,74.06,50.93732,7.88
34.32,45.38,37.53447,7.88
33.98,87.82,56.26331,7.88
31.53,62.49,37.12519,7.88
27.59,85.20,31.73479,7.58
29.02,41.49,28.17886,7.88
39.72,71.79,72.56339,7.58
32.93,54.28,37.75659,7.88
32.37,56.15,37.04247,7.88
34.47,71.77,49.51784,7.58
39.28,77.92,76.17988,7.88
38.63,57.04,55.28617,7.88
33.77,84.09,53.62350,7.88
27.16,83.07,30.53686,7.58
35.84,96.16,73.67811,7.88
39.82,76.75,78.13860,7.58
31.94,76.06,42.28069,7.58
35.54,83.52,61.57001,7.88
39.94,70.56,72.46826,7.88
31.52,58.56,35.81870,7.88
26.77,90.47,30.88407,7.58
27.90,80.89,31.74157,7.88
27.07,80.79,30.17014,7.58
28.00,73.16,30.58230,7.88
36.58,53.78,45.83670,9.63
31.07,46.96,32.38443,8.75
38.09,86.36,77.76572,7.88
33.29,59.52,40.31853,7.88
32.10,89.35,49.26497,7.88
28.78,96.65,37.77691,9.04
34.14,92.05,60.55806,7.88
28.75,51.42,29.63129,7.58
28.08,53.70,29.21927,7.88
30.91,75.95,39.14213,7.58
35.32,96.93,71.19432,7.88
38.25,62.58,57.91665,7.88
38.47,48.16,48.70391,7.88
36.91,64.17,53.93233,7.58
30.00,69.16,35.25860,7.88
29.77,82.57,37.28302,7.58
29.92,78.86,36.96347,7.58
39.18,44.37,48.63845,7.88
29.29,83.59,36.14902,7.58
27.19,62.83,28.34072,8.46
35.79,41.94,39.66778,7.88
37.44,87.59,75.29538,7.88
33.22,55.77,38.92889,7.58
32.12,66.43,39.80679,7.88
26.99,69.98,28.89310,7.88
33.96,86.50,55.55156,7.88
32.46,80.68,46.61692,7.58
34.81,76.41,53.57378,7.88
33.37,43.31,35.20301,7.88
33.98,50.66,38.62586,7.88
37.58,78.69,67.75841,7.88
37.65,94.24,83.61549,7.88
36.43,41.76,41.06224,7.88
35.26,99.47,73.23237,7.58
33.79,97.61,63.03573,7.58
35.46,85.72,62.94672,7.88
33.73,62.78,42.42338,7.88
29.81,88.19,39.30238,7.88
36.90,62.69,53.00188,7.88
35.13,81.78,57.99665,7.88
31.50,91.86,47.99428,7.88
26.90,55.81,27.64263,7.88
