Temp,Hum,Output,Time_us
31.80,98.04,51.75724,23.33
31.33,55.00,34.63684,23.92
38.86,42.25,46.40711,24.50
36.47,65.98,53.89729,23.04
30.65,40.72,30.35675,22.75
37.45,97.60,85.28467,23.92
36.39,46.61,42.48369,22.75
29.15,47.20,29.64340,22.46
38.76,80.27,76.01112,23.63
30.51,52.21,32.49680,21.88
28.30,51.85,28.93005,22.46
38.83,58.22,56.75068,24.21
34.76,44.69,38.20359,23.33
34.47,85.22,57.10736,24.79
27.26,57.60,28.21670,63.00
27.31,78.52,30.35675,39.67
29.45,64.52,32.85347,33.54
34.98,88.03,62.10081,26.83
35.51,58.53,46.05044,25.96
38.30,70.21,63.88418,27.71
28.60,82.97,34.28017,25.67
26.88,55.56,27.86002,24.21
32.28,57.52,37.49025,23.33
28.42,76.12,32.49680,23.92
27.33,87.65,31.42677,23.04
37.94,68.91,60.67411,24.50
31.17,59.31,35.35020,23.92
28.51,73.61,31.78345,25.67
28.37,71.77,31.42677,24.79
32.38,92.58,51.75724,23.33
28.53,47.33,28.93005,23.92
28.51,72.97,32.14012,23.63
34.63,86.62,59.24741,25.96
28.80,88.46,35.70687,23.04
38.09,49.56,48.54716,23.63
29.88,67.69,34.63684,23.92
33.84,85.83,54.61063,23.33
32.02,62.08,38.20359,24.79
29.40,92.02,38.91694,24.50
28.17,51.57,28.93005,22.17
35.03,75.35,53.54061,25.38
28.38,68.70,31.07010,23.33
27.85,73.62,30.71342,23.92
35.47,85.04,62.45748,23.04
34.24,92.90,61.38745,22.17
30.48,85.98,41.05699,23.63
32.84,52.34,37.13357,24.21
37.30,45.23,44.26707,23.63
32.65,72.11,43.55371,24.21
30.92,98.70,47.47714,24.50
32.22,50.86,34.99352,23.63
29.71,41.39,29.64340,24.21
39.64,46.59,51.75724,23.63
37.29,63.08,54.96731,24.79
27.50,44.13,27.86002,21.58
39.22,68.03,66.38091,22.75
29.46,49.12,30.35675,24.21
36.36,83.74,65.31087,23.92
33.28,49.17,36.42022,25.38
37.45,48.07,45.69376,23.33
29.06,65.31,31.78345,24.50
31.78,64.58,38.91694,22.46
29.35,72.09,33.92350,23.33
27.25,54.86,27.86002,23.33
30.41,91.13,43.19704,21.88
35.03,41.37,37.84692,23.33
31.20,50.12,33.56682,23.92
29.88,91.03,40.34364,24.79
26.73,71.47,28.93005,24.21
30.39,76.16,37.13357,24.79
36.07,99.54,78.50784,21.88
30.00,69.18,34.99352,24.50
29.30,94.95,39.63029,25.67
30.54,86.75,42.12702,23.33
27.68,97.17,34.63684,25.08
33.48,93.01,57.46403,22.75
37.54,42.27,43.91039,24.21
33.35,44.36,35.70687,23.92
28.43,53.35,30.00007,23.92
35.00,74.46,53.18394,22.75
28.36,49.30,28.93005,25.38
30.60,48.91,32.14012,23.92
34.87,86.84,60.67411,23.33
33.53,64.45,42.12702,25.08
36.84,48.88,44.26707,22.75
39.00,41.56,46.76379,25.08
28.98,87.63,35.70687,23.33
30.00,42.02,30.00007,21.29
28.47,64.72,30.71342,25.08
38.68,43.79,46.76379,24.21
27.02,89.73,31.07010,23.04
35.89,87.34,66.38091,23.33
33.53,52.12,38.56027,24.50
34.42,95.87,64.95420,25.67
27.13,60.23,28.21670,22.75
39.81,74.75,75.65445,25.08
31.57,50.06,33.92350,23.92
29.13,51.57,30.00007,22.46
30.99,82.27,41.77034,23.04
39.49,66.36,65.66756,25.67
32.82,97.19,57.10736,22.46
34.83,56.07,42.48369,23.33
28.20,70.36,30.71342,23.04
33.88,65.95,44.26707,23.92
35.16,40.03,37.84692,24.21
32.69,56.97,38.20359,22.46
28.79,46.80,29.28672,23.33
32.06,53.52,35.70687,22.46
39.40,94.30,95.27156,23.63
31.10,63.10,36.42022,24.21
38.19,65.21,59.24741,26.25
39.31,69.02,67.45093,23.33
28.30,44.04,27.86002,23.04
33.06,53.54,37.84692,23.63
32.52,43.25,33.56682,59.50
36.61,86.67,69.94765,49.58
28.88,41.07,27.86002,48.71
28.33,43.19,27.86002,37.63
36.59,64.28,53.18394,30.63
32.94,81.37,48.90384,28.58
33.02,63.92,41.05699,24.21
30.06,53.91,31.78345,24.79
31.92,46.27,33.56682,26.83
35.43,97.28,72.08770,23.63
33.27,68.45,43.19704,25.96
34.25,99.21,66.38091,169.46
31.06,87.74,44.26707,46.08
27.16,92.41,31.78345,32.08
32.14,80.73,45.69376,27.13
33.60,56.61,40.34364,28.88
32.82,96.88,57.10736,27.13
30.40,98.28,45.33709,22.46
33.90,46.10,36.77689,24.21
34.58,99.56,68.87762,23.92
39.15,78.62,76.01112,24.50
38.47,55.76,53.18394,25.38
30.41,61.15,34.28017,21.58
28.32,94.44,35.35020,23.33
31.17,69.98,38.56027,24.79
36.00,51.04,43.55371,24.79
38.64,95.56,91.34814,24.21
27.36,90.31,31.78345,22.46
30.60,70.41,36.77689,24.79
36.63,92.34,74.58443,21.88
38.20,59.42,54.96731,25.38
38.09,65.52,59.24741,23.33
27.13,93.83,32.49680,24.21
37.59,79.81,68.52095,22.46
27.09,47.32,27.50335,24.21
34.16,55.55,41.05699,24.79
34.08,82.89,54.25396,23.33
38.45,41.59,45.33709,23.92
28.83,88.95,35.70687,22.75
29.43,81.16,35.70687,25.67
31.37,66.80,38.20359,25.96
32.04,40.48,32.49680,25.38
33.77,56.68,40.34364,23.92
33.79,58.43,41.05699,24.21
33.48,82.45,51.40056,23.92
32.99,94.16,56.03733,22.46
26.95,49.38,27.86002,23.63
38.41,89.93,83.85796,24.79
32.87,47.00,35.35020,24.79
37.21,48.04,44.98042,25.08
34.95,86.42,60.67411,24.21
39.27,73.65,72.08770,23.92
32.57,91.50,52.11391,24.79
36.07,42.90,40.70032,24.79
28.78,54.52,30.00007,23.04
31.57,62.80,37.49025,23.63
34.33,76.28,51.40056,22.46
31.73,58.39,36.42022,23.92
33.52,49.53,36.77689,22.46
28.83,79.14,33.92350,24.50
28.74,59.18,30.35675,24.79
27.54,82.22,30.71342,22.46
33.87,66.33,44.26707,23.33
37.43,94.43,82.43127,22.75
39.51,77.70,77.08115,24.21
32.74,80.89,47.83381,23.63
36.87,95.51,79.22120,22.75
32.47,81.94,47.47714,23.63
30.46,93.22,44.26707,24.21
39.52,52.51,54.61063,22.46
32.19,55.09,36.42022,25.08
31.23,80.05,41.77034,23.33
36.62,94.19,76.72447,23.04
30.29,90.54,42.48369,23.33
37.87,79.01,69.59097,24.21
35.24,89.19,63.88418,24.79
34.48,74.06,50.68721,22.75
34.32,45.38,37.49025,22.75
33.98,87.82,56.39401,23.04
31.53,62.49,37.49025,23.92
27.59,85.20,31.78345,25.96
29.02,41.49,28.57337,24.21
39.72,71.79,72.08770,22.75
32.93,54.28,37.84692,23.04
32.37,56.15,37.49025,23.92
34.47,71.77,49.26051,25.08
39.28,77.92,76.36780,23.63
38.63,57.04,54.96731,25.67
33.77,84.09,53.18394,22.46
27.16,83.07,30.35675,23.92
35.84,96.16,73.15772,24.21
39.82,76.75,77.79449,21.88
31.94,76.06,42.48369,23.92
35.54,83.52,61.03078,23.63
39.94,70.56,71.37435,23.63
31.52,58.56,36.06355,23.04
26.77,90.47,30.71342,24.79
27.90,80.89,31.78345,23.33
27.07,80.79,30.00007,25.67
28.00,73.16,31.07010,25.38
36.58,53.78,46.76379,58.63
31.07,46.96,32.14012,46.67
38.09,86.36,78.15117,30.33
33.29,59.52,40.34364,27.13
32.10,89.35,48.90384,23.04
28.78,96.65,37.84692,25.67
34.14,92.05,60.31743,23.92
28.75,51.42,30.00007,24.50
28.08,53.70,28.93005,24.79
30.91,75.95,38.91694,25.08
35.32,96.93,70.66100,24.79
38.25,62.58,57.46403,25.08
38.47,48.16,48.90384,24.50
36.91,64.17,53.89729,23.33
